index,real-mod,which-found,client,server
698,AutoRegLib-1.7-53.jar,autoreglib
4485,balm-3.2.6.jar,balm
3434,architectury-4.12.94-forge.jar,architectury-api
938,Bookshelf-Forge-1.18.2-13.3.56.jar,bookshelf
2575,blueprint-1.18.2-5.5.0.jar,blueprint
2458,caelus-forge-1.18.1-3.0.0.2.jar,caelus
6522,aquatictorches-1.18-1.1.0.jar,aquatic-torches
2232,citadel-1.11.3-1.18.2.jar,citadel
3989,cardinal-components-api-4.2.0.jar,cardinal-components
2346,cloth-config-6.5.116-forge.jar,cloth-config
706,coroutil-forge-1.18.2-1.3.6.jar,coroutil
669,CraftTweaker-forge-1.18.2-9.1.211.jar,crafttweaker
2652,collective-1.18.2-7.7.jar,collective
1283,CreativeCore_FORGE_v2.11.27_mc1.18.2.jar,creativecore
7412,AnvilNeverTooExpensive-1.18-1.1.jar,nevertooexpensive
8475,chefs-delight-1.0.2-forge-1.18.2.jar,chefs-delight
2029,curios-forge-1.18.2-5.0.9.2.jar,curios
4142,cupboard-1.18.2-1.5.jar,clipboard
5009,DistantHorizons-2.2.0-a-1.18.2-forge-fabric.jar.disabled,distant-horizons
4985,expandability-6.0.0.jar,expandability
4053,fancymenu_forge_3.2.3_MC_1.18.2.jar,fancymenu
12028,embeddium-0.3.18+mc1.18.2.jar,embeddium
12822,embeddiumplus-1.18.2-v1.2.14.jar,embeddiumplus
3184,ftb-library-forge-1802.3.11-build.177.jar,ftb-library-
1423,ftb-quests-forge-1802.3.15-build.298.jar,ftb-quests-
8277,FriendlyFire-Forge-1.18.2-11.0.4.jar,friendly-fire
3205,JEITweaker-1.18.2-3.0.0.9.jar,jeitweaker
5838,feature_nbt_deadlock_be_gone_forge-2.0.0+1.18.2.jar,feature-nbt-deadlock-be-gone
855,JustEnoughResources-1.18.2-0.14.2.206.jar,just-enough-resources-jer
1290,Kiwi-1.18.2-forge-6.1.4.jar,kiwi
4213,konkrete_forge_1.8.0_MC_1.18-1.18.2.jar,konkrete
None,fdcookbook-1.2.1-beta-forge-1.18.2.jar,None
7734,JsonThings-1.18.2-0.4.15.jar,json-things
2890,kotlinforforge-3.12.0-all.jar,kotlin-for-
3407,lazydfu-1.0-1.18+.jar,lazydfu
11182,golemsarefriends-1.18.2-0.1.0.1.jar,golemsarefriends
4980,majrusz-library-1.18.2-5.1.2.jar,majrusz-library
7415,letmedespawn-1.18-forge-1.0.3.jar,let-me-despawn
13601,melody_forge_1.0.1_MC_1.18.2.jar,melody
5741,oculus-mc1.18.2-1.6.4.jar,oculus
9830,oceansdelight-1.0.0-1.18.2.jar,oceans-delight
3170,panorama,runorama
4580,PuzzlesLib-v3.5.9-1.18.2-Forge.jar,puzzles-lib
10311,modernworldcreation_forge_1.0.0_MC_1.18.2.jar,modernworldcreation
7756,Quit-Forge-1.18.2-1.0.1.jar,quit
1716,ScalingHealth-1.18.2-6.3.1+6.jar.disabled,scaling-health
4159,selene-1.18.2-1.17.16.jar,selene
1363,silent-lib-1.18.2-6.2.0.jar,silent-lib
13356,quark_delight_1.0.0_forge_1.18.2.jar,quark-delight
6793,Structory-1.18.2-1.0.2.jar,structory
None,reliquary-1.18.2-2.0.19.1161.jar,None
4565,Tinkers'_Delight-1.18.2FORGE-1.0.2.1.jar,tinkers-delight
None,L_Enders_Cataclysm-0.51-changed_Them_-1.18.2.jar,None
13747,tconjei-1.18.2-1.3.1.jar,tconjei
12476,structureessentials-1.18.2-3.0.jar,structure-essentials-
11065,TinkersKatanas_v1.1.jar,tinkers-katanas
9720,Tinkers_Thinking-1.2.0.jar,tinkers-thinking
10502,tinkers_ingenuity-1.6.0.jar,tinkers_ingenuity
3851,whats-that-slot-forge-1.2.3+1.18.1.jar,whats-that-slot
9863,trade-cycling-forge-1.18.2-1.0.2.jar,trade-cycling
1480,[AI改进] AI-Improvements-1.18.2-0.5.2.jar,ai-improvements
None,watut-forge-1.18.2-1.0.14.jar,None
3372,YungsApi-1.18.2-Forge-2.2.9.jar,yungs-api
1815,[FPS减速器] FpsReducer2-forge-1.18.2-2.0.jar,fps-reducer
459,[JEI物品管理器] jei-1.18.2-forge-10.2.1.1006.jar,jei
3179,[FTB 团队] ftb-teams-forge-1802.2.11-build.107.jar,ftb-teams-
2077,[JEI扩展] jeiintegration_1.18.2-9.0.0.37.jar,jei-integration
2077,[JER集成] JER-Integration-3.4.0.jar,jei-integration
4568,[Majrusz的配件] majruszs-accessories-1.18.2-1.2.3.jar,majruszs-accessories
7329,[TexTrue的Embeddium视频界面] textrues_embeddium_options-0.1.1+mc1.18.2.jar,textrues-rubidium-options
1483,[Xaero的世界地图] XaerosWorldMap_1.39.0_Forge_1.18.2.jar,xaeros-world-map
15979,TradeEnchantmentDisplay-forge-1.0.1+1.18.jar,trade-enchantment-display
1701,[Xaero的小地图] Xaeros_Minimap_24.4.0_Forge_1.18.2.jar,xaeros-minimap
2788,[YUNG的矿井优化] YungsBetterMineshafts-1.18.2-Forge-2.2.jar,yungs-better-mineshafts-
None,[Majrusz的进阶难度] majruszs-difficulty-1.18.2-1.8.1.jar,None
883,[万用皮肤补丁] CustomSkinLoader_ForgeV2-14.20.jar,customskinloader
811,[下界传送门修正] netherportalfix-forge-1.18.2-9.0.1.jar,netherportalfix
1339,[传送石碑／指路石] waystones-forge-1.18.2-10.2.2.jar,waystones
4563,[下界乐事] NethersDelight-1.18.2-2.2.0.jar,nethers-delight
408,[储物抽屉] StorageDrawers-1.18.2-10.3.0.jar,storage-drawers
4288,[免税附魔] TaxFreeLevels-1.3.13-forge-1.20.2.jar,tax-free-levels
3170,[全景图] panorama-1.2.0-1.18.2.jar,runorama
12175,[YUNG的末地岛屿优化] YungsBetterEndIsland-1.18.2-Forge-1.0.jar,yungs-better-end-island
2820,[农夫乐事] FarmersDelight-1.18.2-1.2.3.jar,farmers-delight
None,[伤害显示] torohealth-1.18-forge-2.jar,None
5074,[冰山] Iceberg-1.18.2-forge-1.0.49.jar,iceberg
2120,[匠魂杂物] Tinker-Things-1.1.0.jar,tinkers-things
None,[Windows 键盘修复] Windows Keyboard Fixes-forge-1.17-to-atleast-1.20-1.0.1-all.jar,None
4832,[可视性能侦测] observable-2.2.3-forge.jar.disabled,observable
1501,[合成辅助] craftingtweaks-forge-1.18.2-14.0.9.jar,crafting-tweaks
